Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,269.875,-47.625,0,bottom
C2,0.1uF,C_0805_2012Metric,264.31875,-61.11875,0,bottom
C3,22pF,C_0805_2012Metric,273.05,-71.4375,270,bottom
C4,22pF,C_0805_2012Metric,279.4,-71.4375,90,bottom
C5,0.1uF,C_0805_2012Metric,278.384,-67.183,270,bottom
C6,10uF,C_0805_2012Metric,280.9875,-47.625,180,bottom
C7,1uF,C_0805_2012Metric,287.401,-59.6415,90,bottom
D1,D_Small,D_SOD-123,9.525,4.7625,180,bottom
D2,D_Small,D_SOD-123,9.525,-14.2875,180,bottom
D3,D_Small,D_SOD-123,14.2875,-33.3375,180,bottom
D4,D_Small,D_SOD-123,11.90625,-52.3875,180,bottom
D5,D_Small,D_SOD-123,19.05,-71.4375,180,bottom
D6,D_Small,D_SOD-123,11.90625,-90.4875,180,bottom
D7,D_Small,D_SOD-123,38.1,-1.5875,180,bottom
D8,D_Small,D_SOD-123,28.575,-14.2875,180,bottom
D9,D_Small,D_SOD-123,38.1,-33.3375,180,bottom
D10,D_Small,D_SOD-123,42.8625,-52.3875,180,bottom
D11,D_Small,D_SOD-123,52.3875,-71.4375,180,bottom
D12,D_Small,D_SOD-123,35.71875,-90.4875,180,bottom
D13,D_Small,D_SOD-123,57.15,4.7625,180,bottom
D14,D_Small,D_SOD-123,47.625,-14.2875,180,bottom
D15,D_Small,D_SOD-123,57.15,-33.3375,180,bottom
D16,D_Small,D_SOD-123,61.9125,-52.3875,180,bottom
D17,D_Small,D_SOD-123,71.4375,-71.4375,180,bottom
D18,D_Small,D_SOD-123,59.53125,-90.4875,180,bottom
D19,D_Small,D_SOD-123,76.2,4.7625,180,bottom
D20,D_Small,D_SOD-123,66.675,-14.2875,180,bottom
D21,D_Small,D_SOD-123,76.2,-33.3375,180,bottom
D22,D_Small,D_SOD-123,80.9625,-52.3875,180,bottom
D23,D_Small,D_SOD-123,90.4875,-71.4375,180,bottom
D24,D_Small,D_SOD-123,95.25,4.7625,180,bottom
D25,D_Small,D_SOD-123,85.725,-14.2875,180,bottom
D26,D_Small,D_SOD-123,95.25,-33.3375,180,bottom
D27,D_Small,D_SOD-123,100.0125,-52.3875,180,bottom
D28,D_Small,D_SOD-123,109.5375,-71.4375,180,bottom
D29,D_Small,D_SOD-123,104.775,-14.2875,180,bottom
D30,D_Small,D_SOD-123,114.3,-33.3375,180,bottom
D31,D_Small,D_SOD-123,119.0625,-52.3875,180,bottom
D32,D_Small,D_SOD-123,128.5875,-71.4375,180,bottom
D33,D_Small,D_SOD-123,128.5875,-1.5875,180,bottom
D34,D_Small,D_SOD-123,123.825,-14.2875,180,bottom
D35,D_Small,D_SOD-123,133.35,-33.3375,180,bottom
D36,D_Small,D_SOD-123,138.1125,-52.3875,180,bottom
D37,D_Small,D_SOD-123,147.6375,-71.4375,180,bottom
D38,D_Small,D_SOD-123,142.875,-90.4875,180,bottom
D39,D_Small,D_SOD-123,147.6375,4.7625,180,bottom
D40,D_Small,D_SOD-123,142.875,-14.2875,180,bottom
D41,D_Small,D_SOD-123,152.4,-33.3375,180,bottom
D42,D_Small,D_SOD-123,157.1625,-52.3875,180,bottom
D43,D_Small,D_SOD-123,166.6875,-71.4375,180,bottom
D44,D_Small,D_SOD-123,166.6875,4.7625,180,bottom
D45,D_Small,D_SOD-123,161.925,-14.2875,180,bottom
D46,D_Small,D_SOD-123,171.45,-33.3375,180,bottom
D47,D_Small,D_SOD-123,176.2125,-52.3875,180,bottom
D48,D_Small,D_SOD-123,185.7375,-71.4375,180,bottom
D49,D_Small,D_SOD-123,185.7375,4.7625,180,bottom
D50,D_Small,D_SOD-123,180.975,-14.2875,180,bottom
D51,D_Small,D_SOD-123,190.5,-33.3375,180,bottom
D52,D_Small,D_SOD-123,195.2625,-52.3875,180,bottom
D53,D_Small,D_SOD-123,204.7875,-71.4375,180,bottom
D54,D_Small,D_SOD-123,219.075,-1.5875,180,bottom
D55,D_Small,D_SOD-123,200.025,-14.2875,180,bottom
D56,D_Small,D_SOD-123,209.55,-33.3375,180,bottom
D57,D_Small,D_SOD-123,214.3125,-52.3875,180,bottom
D58,D_Small,D_SOD-123,223.8375,-71.4375,180,bottom
D59,D_Small,D_SOD-123,221.45625,-90.4875,180,bottom
D60,D_Small,D_SOD-123,238.125,-1.5875,180,bottom
D61,D_Small,D_SOD-123,219.075,-14.2875,180,bottom
D62,D_Small,D_SOD-123,228.6,-33.3375,180,bottom
D63,D_Small,D_SOD-123,233.3625,-52.3875,180,bottom
D64,D_Small,D_SOD-123,247.65,-71.4375,180,bottom
D65,D_Small,D_SOD-123,245.26875,-90.4875,180,bottom
D66,D_Small,D_SOD-123,257.175,4.7625,180,bottom
D67,D_Small,D_SOD-123,238.125,-14.2875,180,bottom
D68,D_Small,D_SOD-123,247.65,-33.3375,180,bottom
D69,D_Small,D_SOD-123,255.651,-48.768,0,bottom
D70,D_Small,D_SOD-123,269.2,-80.9625,90,bottom
D71,D_Small,D_SOD-123,269.08125,-90.4875,180,bottom
D72,D_Small,D_SOD-123,276.225,4.7625,180,bottom
D73,D_Small,D_SOD-123,264.31875,-14.2875,180,bottom
D74,D_Small,D_SOD-123,269.08125,-33.3375,180,bottom
D75,D_Small,D_SOD-123,293.0125,-4.7625,90,bottom
D76,D_Small,D_SOD-123,300.0375,-14.2875,180,bottom
D77,D_Small,D_SOD-123,300.0375,-33.3375,180,bottom
D78,D_Small,D_SOD-123,300.0375,-52.3875,180,bottom
D79,D_Small,D_SOD-123,300.0375,-71.4375,180,bottom
D80,D_Small,D_SOD-123,312.0625,-4.7625,90,bottom
D81,D_Small,D_SOD-123,319.0875,-14.2875,180,bottom
D82,D_Small,D_SOD-123,319.0875,-33.3375,180,bottom
D83,D_Small,D_SOD-123,319.0875,-52.3875,180,bottom
D84,D_Small,D_SOD-123,319.0875,-71.4375,180,bottom
D85,D_Small,D_SOD-123,307.18125,-90.4875,180,bottom
D86,D_Small,D_SOD-123,331.1125,-4.7625,90,bottom
D87,D_Small,D_SOD-123,338.1375,-14.2875,180,bottom
D88,D_Small,D_SOD-123,338.1375,-33.3375,180,bottom
D89,D_Small,D_SOD-123,338.1375,-52.3875,180,bottom
D90,D_Small,D_SOD-123,334.9625,-71.4375,180,bottom
D91,D_Small,D_SOD-123,335.75625,-90.4875,180,bottom
D92,D_Small,D_SOD-123,350.1625,-4.7625,90,bottom
D93,D_Small,D_SOD-123,350.1625,-23.8125,90,bottom
D94,D_Small,D_SOD-123,350.1625,-42.8625,90,bottom
D95,D_Small,D_SOD-123,350.1625,-61.9125,90,bottom
D96,D_Small,D_SOD-123,338.93125,-84.93125,90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,274.6375,-19.05,90,bottom
J1,Conn_01x04_Male,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,278.60625,-11.1125,0,bottom
R1,22,R_0805_2012Metric,277.01875,-18.25625,90,bottom
R2,22,R_0805_2012Metric,280.19375,-18.25625,90,bottom
R3,10k,R_0805_2012Metric,283.36875,-71.58125,270,bottom
R4,10k,R_0805_2012Metric,263.779,-51.054,270,bottom
SW1,SW_Push,SKQG-1155865,278.60625,-82.55,270,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,275.43125,-57.15,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,276.225,-71.4375,0,bottom
